family,module,quantity,mfr_part,proposed_by_claude,lcsc,type,package,stock,in_stock,price,description
WS2812B,LED,3,WS2812B,False,C9900004370,Extended,LED-SMD_4P-L5.0-W5.0-P3.20-LS5.4,0,False,0.0002,LED-SMD_4P-L5.0-W5.0-P3.20-LS5.4 SMT ROHS
WS2812B,LED,3,WS2812B,False,C9900011976,Extended,SMD-0807,0,False,0.0002,SMD-0807 SMT ROHS
WS2812B,LED,3,ws2812b,False,C9900021185,Extended,SMD,0,False,0.0191,SMD SMT ROHS
WS2812B,LED,3,WS2812B,False,C9900022027,Extended,3227(1209),0,False,0.0191,3227(1209) SMT ROHS
WS2812B,LED,3,WS2812B,False,C9900024947,Extended,LED-RGB3050,0,False,0.0191,LED-RGB3050 SMT ROHS
WS2812B,LED,3,WS2812B,False,C9900029397,Extended,-4P,0,False,0.0191,-4P New Arrivals ROHS
WS2812B,LED,3,WS2812B,False,C9900052989,Extended,6028,0,False,0.0191,6028 New Arrivals ROHS
WS2812B,LED,3,WS2812B,False,C9900054513,Extended,6028/3528,0,False,0.0191,6028/3528 New Arrivals ROHS
WS2812B,LED,3,WS2812B,False,C9900106807,Extended,SMD-LED-5328,0,False,0.0191,SMD-LED-5328 New Arrivals ROHS
WS2812B,LED,3,WS2812B,False,C9900137421,Extended,5050,0,False,0.0191,5050 New Arrivals ROHS
32.768kHz,XTAL,1,Q13FC13500004,True,C32346,Basic,SMD3215-2P,667935,True,0.1295,-40C~+85C 12.5pF 32.768kHz 70kOhm Crystal Oscillator +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,X308032768KGB2SC,False,C52082,Extended,DT-38,203356,True,0.0489,-20C~+70C 12.5pF 32.768kHz Through Hole Crystal Oscillator +/-10ppm +/-20ppm DT-38 Crystals ROHS
32.768kHz,XTAL,1,X206032768KGB2SC,False,C2236,Extended,DT-26,129689,True,0.0498,-20C~+70C 12.5pF 32.768kHz Through Hole Crystal Oscillator +/-10ppm +/-20ppm DT-26 Crystals ROHS
32.768kHz,XTAL,1,Q13FC13500049,False,C95361,Extended,SMD3215-2P,112236,True,0.1486,-40C~+85C 32.768kHz 6pF 70kOhm Crystal Oscillator +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,SC-32S32.768kHz20PPM12.5pF,False,C97606,Extended,SMD3215-2P,86312,True,0.1356,12.5pF 32.768kHz +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,Q13MC14620002,False,C15482,Extended,MC-146,76999,True,0.1183,-40C~+85C 12.5pF 32.768kHz 65kOhm Crystal Oscillator +/-20ppm MC-146 Crystals ROHS
32.768kHz,XTAL,1,SC-32S32.768kHz20PPM7pF,False,C97604,Extended,SMD3215-2P,45041,True,0.1324,32.768kHz 7pF +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,X206032768KGA2SC,False,C13712,Extended,DT-26,37494,True,0.0661,-20C~+70C 12.5pF 32.768kHz Through Hole Crystal Oscillator +/-30ppm +/-5ppm DT-26 Crystals ROHS
32.768kHz,XTAL,1,X1A0000610006,False,C99009,Extended,SMD2012-2P,36717,True,0.1572,-40C~+85C 32.768kHz 7pF 90kOhm Crystal Oscillator +/-20ppm SMD2012-2P Crystals ROHS
32.768kHz,XTAL,1,Q13FC13500003,False,C99010,Extended,SMD3215-2P,23139,True,0.1567,-40C~+85C 32.768kHz 70kOhm 9pF Crystal Oscillator +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,X803832768KGD4GI,False,C12675,Extended,MC-306,17267,True,0.2307,-40C~+85C 12.5pF 32.768kHz Crystal Oscillator +/-20ppm +/-30ppm MC-306 Crystals ROHS
32.768kHz,XTAL,1,Q13MC30610003,False,C16320,Extended,MC-306,15817,True,0.1986,-40C~+85C 12.5pF 32.768kHz 35kOhm Crystal Oscillator +/-20ppm MC-306 Crystals ROHS
32.768kHz,XTAL,1,Q13MC30620006,False,C83979,Extended,MC-306,14788,True,0.2437,-40C~+85C 32.768kHz 35kOhm 6pF Crystal Oscillator +/-20ppm MC-306 Crystals ROHS
32.768kHz,XTAL,1,"SC-20S,32.768kHz,20PPM,12.5pF",False,C97607,Extended,SMD2012-2P,10755,True,0.1623,12.5pF 32.768kHz +/-20ppm SMD2012-2P Crystals ROHS
32.768kHz,XTAL,1,"SC-20S,32.768kHz,20PPM,7pF",False,C97602,Extended,SMD2012-2P,9766,True,0.1644,32.768kHz 7pF +/-20ppm SMD2012-2P Crystals ROHS
32.768kHz,XTAL,1,X803832768KID4GI,False,C86440,Extended,MC-306,7178,True,0.2782,-40C~+85C 32.768kHz 6pF Crystal Oscillator +/-20ppm +/-30ppm MC-306 Crystals ROHS
32.768kHz,XTAL,1,X1A0000610002,False,C55208,Extended,SMD2012-2P,6842,True,0.1714,-40C~+85C 12.5pF 32.768kHz 90kOhm Crystal Oscillator +/-20ppm SMD2012-2P Crystals ROHS
32.768kHz,XTAL,1,9H03200012,False,C90943,Extended,SMD2012-2P,4818,True,0.2282,-40C~+85C 12.5pF 32.768kHz 90kOhm Crystal Oscillator +/-20ppm SMD2012-2P Crystals ROHS
32.768kHz,XTAL,1,SC-32S32.768kHz20PPM9pF,False,C97605,Extended,SMD3215-2P,3282,True,0.142,32.768kHz 9pF +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,X1A0001410001,False,C94674,Extended,SMD3215-2P,3049,True,0.1712,-40C~+85C 32.768kHz 50kOhm 7pF Crystal Oscillator +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,9H03200031,False,C90944,Extended,SMD3215-2P,3000,True,0.2084,-40C~+85C 12.5pF 32.768kHz 70kOhm Crystal Oscillator +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,CFS-20632768DZFB,False,C100098,Extended,DT-26,2603,True,0.0962,-20C~+70C 12.5pF 32.768kHz 35kOhm +/-20ppm DT-26 Crystals ROHS
32.768kHz,XTAL,1,Q13FC13500002,False,C48615,Extended,SMD3215-2P,2229,True,0.14,-40C~+85C 32.768kHz 70kOhm 7pF Crystal Oscillator +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,9H03200034,False,C90945,Extended,SMD3215-2P,2180,True,0.2487,-40C~+85C 32.768kHz 70kOhm 7pF Crystal Oscillator +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,X1A0000610008,False,C96341,Extended,SMD2012-2P,1994,True,0.2205,-40C~+85C 32.768kHz 90kOhm 9pF Crystal Oscillator +/-20ppm SMD2012-2P Crystals ROHS
32.768kHz,XTAL,1,X308032768KGI2SC,False,C70695,Extended,DT-38,1387,True,0.0764,-10ppm -20C~+70C 12.5pF 32.768kHz Through Hole Crystal Oscillator +/-10ppm DT-38 Crystals ROHS
32.768kHz,XTAL,1,X701532768KGD4GI,False,C52084,Extended,MC-146,655,True,0.203,-40C~+85C 12.5pF 32.768kHz Crystal Oscillator +/-20ppm +/-30ppm MC-146 Crystals ROHS
32.768kHz,XTAL,1,X1A0001410003,False,C94276,Extended,SMD3215-2P,558,True,0.1852,-40C~+85C 12.5pF 32.768kHz 50kOhm Crystal Oscillator +/-20ppm +/-20ppm SMD3215-2P Crystals ROHS
32.768kHz,XTAL,1,"SC-20S,32.768kHz,20PPM,9pF",False,C97603,Extended,SMD2012-2P,522,True,0.1752,32.768kHz 9pF +/-20ppm SMD2012-2P Crystals ROHS
32.768kHz,XTAL,1,X1A0001410006,False,C94673,Extended,SMD3215-2P,474,True,0.1708,-40C~+85C 32.768kHz 6pF Crystal Oscillator +/-20ppm SMD3215-2P Crystals ROHS
EC11,ENC,2,EC11E15244B2,True,C470754,Extended,Plugin,4304,True,1.6968,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E15244G1,False,C370970,Extended,Plugin,3319,True,1.8322,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E09244BS,False,C470742,Extended,Plugin,2722,True,1.5264,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E18244A5,False,C255515,Extended,Plugin,2397,True,1.7333,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11N1525404,False,C470748,Extended,Plugin,2085,True,2.2233,Plugin Rotary Encoders ROHS
EC11,ENC,2,PEC11L-4115F-S0020,False,C143799,Extended,Plugin,1734,True,2.199,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E09204A4,False,C470709,Extended,Plugin,1176,True,1.54,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E153440D,False,C370992,Extended,Plugin,1121,True,1.7698,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11K0924404,False,C470743,Extended,Plugin,970,True,2.1822,Plugin Rotary Encoders ROHS
EC11,ENC,2,PEC11R-4215F-S0024,False,C143790,Extended,Plugin,938,True,2.0316,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11M1565403,False,C470745,Extended,Plugin,725,True,2.38,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC1110120005,False,C470788,Extended,Plugin,643,True,3.36,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11N1520402,False,C470704,Extended,Plugin,573,True,1.2372,Plugin Rotary Encoders ROHS
EC11,ENC,2,PEC11R-4220F-S0024,False,C143797,Extended,Plugin,472,True,2.307,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E18244AU,False,C202365,Extended,Plugin,471,True,1.6496,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E15204A3,False,C470710,Extended,Plugin,431,True,1.7927,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E183440C,False,C370986,Extended,Plugin,369,True,1.8429,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E1820402,False,C361167,Extended,Plugin,345,True,1.3133,Plugin Rotary Encoders ROHS
EC11,ENC,2,PEC11R-4015F-S0024,False,C143789,Extended,Plugin,313,True,2.0483,Plugin Rotary Encoders ROHS
EC11,ENC,2,PEC11R-4220F-S0012,False,C143817,Extended,Plugin,280,True,2.794,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11M1575403,False,C470757,Extended,Plugin,264,True,2.1898,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E09244AQ,False,C470753,Extended,Plugin,224,True,1.7668,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11K1524406,False,C398934,Extended,Plugin,84,True,1.7896,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11N1524403,False,C470737,Extended,Plugin,82,True,2.2477,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11E1834403,False,C361165,Extended,Plugin,79,True,1.6435,Plugin Rotary Encoders ROHS
EC11,ENC,2,PEC11R-4220K-S0024,False,C462143,Extended,Plugin,79,True,2.4972,Plugin Rotary Switches ROHS
EC11,ENC,2,EC11J1525402,False,C209762,Extended,SMD,60,True,2.4166,SMD Rotary Encoders ROHS
EC11,ENC,2,EC11EBB24C03,False,C470790,Extended,Plugin,42,True,8.887,Plugin Rotary Encoders ROHS
EC11,ENC,2,PEC11R-4020F-S0024,False,C143788,Extended,Plugin,37,True,2.7727,Plugin Rotary Encoders ROHS
EC11,ENC,2,EC11N1520401,False,C470703,Extended,Plugin,13,True,1.6359,Plugin Rotary Encoders ROHS
PJ-320,JACK,1,PJ-320D,False,C431535,Extended,SMD,38036,True,0.0395,-20C~+80C 3.5mm Headphone Jack 30V 500mA Silver SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-3200,False,C2689690,Extended,Plugin,16285,True,0.0445,-20C~+70C 3.5mm Headphone Jack 30V 500mA Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-320D,False,C22459515,Extended,SMD,3584,True,0.0221,3.5mm Headphone Jack 30V 500mA Copper SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-320A,False,C49284721,Extended,SMD,2595,True,0.0501,-25C~+85C 3.5mm Headphone Jack 30V 500mA Copper Gold SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-320A,False,C22459514,Extended,Plugin,2553,True,0.023,3.5mm Headphone Jack 30V 500mA Copper Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-320A,False,C2884926,Extended,Plugin,2023,True,0.0837,-20C~+70C 3.5mm Headphone Jack 30V 500mA Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-320D,False,C49284722,Extended,SMD,1633,True,0.0626,-25C~+85C 3.5mm Headphone Jack 30V 500mA Copper Gold SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-320(OS),False,C2939180,Extended,Plugin,1240,True,0.0707,3.5mm Headphone Jack Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-320D,False,C521460,Extended,SMD,1167,True,0.0735,1A 3.5mm Headphone Jack 30V Phosphor Bronze Silver SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-320AG-B,False,C2884984,Extended,Plugin,1031,True,0.1796,-20C~+70C 3.5mm Headphone Jack 30V 500mA Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-320F,False,C2939184,Extended,Plugin,1007,True,0.0997,3.5mm Headphone Jack Tin Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-320E,False,C2939183,Extended,Plugin,880,True,0.1023,3.5mm Headphone Jack Brass Silver Plugin Audio Connectors ROHS
PJ-320,JACK,1,XY-PJ-320A,False,C49657056,Extended,Plugin,670,True,0.0315,3.5mm Headphone Jack 30V 500mA Phosphor Bronze Silver Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-3200-3A,False,C709202,Extended,Plugin,491,True,0.0647,-20C~+70C 3.5mm Headphone Jack 30V 500mA Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-320D,False,C22355740,Extended,SMD,480,True,0.0912,-35C~+75C 24V 3.5mm Headphone Jack 50mA Phosphor Bronze SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-320D-4A,False,C95562,Extended,SMD,426,True,0.0743,-20C~+70C 3.5mm Headphone Jack 30V 500mA Gold Phosphor Bronze SMD Audio Connectors ROHS
PJ-320,JACK,1,HX PJ-320D,False,C5184836,Extended,SMD,197,True,0.034,SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-320B,False,C22355831,Extended,SMD,192,True,0.0369,-25C~+75C 24V 25mA 3.5mm Headphone Jack Phosphor Bronze SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-320A,False,C22355837,Extended,Plugin,62,True,0.05,-35C~+75C 12V 250mA 3.5mm Headphone Jack Phosphor Bronze Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-320B-3A,False,C707224,Extended,SMD,60,True,0.0805,-20C~+70C 3.5mm Headphone Jack 30V 500mA SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-320JH4,False,C2884974,Extended,Plugin,1,True,0.1964,-20C~+70C 3.5mm Headphone Jack 30V 500mA Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-320,False,C9900191646,Extended,SMD,0,False,0.0191,SMD SMT ROHS
PJ-320,JACK,1,PJ-320A,False,C12569,Extended,AUDIO-TH,0,False,0.0494,AUDIO-TH Audio Connectors ROHS
PJ-320,JACK,1,PJ-320E,False,C2884941,Extended,Plugin,0,False,0.0875,Plugin Audio Connectors ROHS
PJ-320,JACK,1,PJ-320A,False,C9900002947,Extended,AUDIO-TH,0,False,0.0002,AUDIO-TH SMT ROHS
PJ-320,JACK,1,PJ-320D,False,C2987375,Extended,SMD,0,False,0.0424,-40C~+55C 30V 500mA Tin  SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-320B,False,C9900015649,Extended,PJ-320B,0,False,0.0191,PJ-320B SMT ROHS
PJ-320,JACK,1,PJ-320D,False,C7544643,Extended,SMD,0,False,0.0191,SMD New Arrivals ROHS
PJ-320,JACK,1,PJ-320D-X,False,C319111,Extended,SMD,0,False,0.1245,-20C~+70C 3.5mm Headphone Jack 30V 500mA SMD Audio Connectors ROHS
PJ-320,JACK,1,PJ-320JHW,False,C5146691,Extended,-,0,False,0.133,3.5mm Headphone Jack - Audio Connectors ROHS
